date,usa_weekly_s_avg_c,usa_weekly_w_avg_c
2024-10-27,15.129420986806723,16.915316562300987
2024-11-03,14.02501502687675,16.236940938976254
2024-11-10,12.781276662254902,15.56050218403689
2024-11-17,9.917796301697479,12.17289563485571
2024-11-24,8.369126707871148,10.617845788616831
2024-12-01,4.321408530840336,7.504348697585717
2024-12-08,2.759620496627451,5.032181876861489
2024-12-15,4.32392946464986,6.93854377617641
2024-12-22,4.417557003215687,7.114467922655601
2024-12-29,5.42039314287395,7.697644120205859
2025-01-05,3.073596876834734,5.9569888322079425
2025-01-12,-1.2618606687394958,1.225704636051941
2025-01-19,-0.2661673938671148,2.4510645717758175
2025-01-26,-3.737204927921568,-1.2541312870824863
2025-02-02,3.826520591495798,6.419893808461291
2025-02-09,4.364125610929972,8.165255464295639
2025-02-16,0.4962625785619048,4.704687510523713
2025-02-23,-1.9713552503179272,1.1322482877039106
2025-03-02,7.395731603921569,9.390079313970324
2025-03-09,6.642732089859103,8.700030418017503
2025-03-16,10.351112052789915,12.107240446334348
2025-03-23,9.413186117361345,11.343657720761454
2025-03-30,12.31065330705322,14.200668356843178
2025-04-06,11.867008464705881,14.601904952664674
2025-04-13,10.694681148067227,12.2800424758332
2025-04-20,14.345031480840335,16.128928692276457
2025-04-27,16.093379732493,17.632042183672645
2025-05-04,17.08495905602241,18.525129372124045
2025-05-11,16.945445710084034,18.18936466419839
2025-05-18,19.18443976554622,20.478122155663023
2025-05-25,16.744412821008403,18.784244038439503
2025-06-01,18.794032581699344,19.81100543950362
